(0,6,0)
(1,3,0)
(2,3,0)
(3,3,4)
(4,3,0)
(5,3,0)
(6,3,2)
(7,3,0)
(8,3,0)
(9,3,3)
(10,6,1)
(11,3,1)
(12,6,1)
(13,3,0)
(14,3,0)
(15,3,0)
(16,3,4)
(17,3,0)
(18,3,2)
(19,3,0)
(20,6,1)
(21,3,0)
(22,3,0)
(23,3,0)
(24,6,1)
(25,3,4)
(26,3,0)
(27,3,0)
(28,3,0)
(29,3,0)
(30,6,1)
(31,3,2)
(32,3,0)
(33,3,0)
(34,3,5)
(35,3,0)
(36,6,1)
(37,3,3)
(38,3,0)
(39,3,0)
(40,6,1)
(41,3,0)
(42,3,4)
(43,3,3)
(44,3,0)
(45,3,0)
(46,3,0)
(47,3,0)
(48,6,1)
(49,3,5)
(50,6,1)
(51,3,0)
(52,3,2)
(53,3,0)
(54,3,0)
(55,3,5)
(56,3,0)
(57,3,0)
(58,3,3)
(59,3,2)
(60,6,1)
(61,3,0)
(62,3,0)
(63,3,0)
(64,3,0)
(65,3,0)
