(0,10,0)
(1,11,0)
(2,11,0)
(3,11,4)
(4,11,0)
(5,11,0)
(6,11,2)
(7,11,0)
(8,11,0)
(9,11,3)
(10,10,1)
(11,11,1)
(12,10,1)
(13,11,0)
(14,11,0)
(15,11,0)
(16,11,4)
(17,11,0)
(18,11,2)
(19,11,0)
(20,10,1)
(21,11,0)
(22,11,0)
(23,11,0)
(24,10,1)
(25,11,4)
(26,11,0)
(27,11,0)
(28,11,0)
(29,11,0)
(30,10,1)
(31,11,2)
(32,11,0)
(33,11,0)
(34,11,5)
(35,11,0)
(36,10,1)
(37,11,3)
(38,11,0)
(39,11,0)
(40,10,1)
(41,11,0)
(42,11,4)
(43,11,3)
(44,11,0)
(45,11,0)
(46,11,0)
(47,11,0)
(48,10,1)
(49,11,5)
(50,10,1)
(51,11,0)
(52,11,2)
(53,11,0)
(54,11,0)
(55,11,5)
(56,11,0)
(57,11,0)
(58,11,3)
(59,11,2)
(60,10,1)
(61,11,0)
(62,11,0)
(63,11,0)
(64,11,0)
(65,11,0)
