(1,1,2)
(2,2,3)
(3,3,1)
(4,4,0)
(5,5,0)
(6,6,5)
(7,7,4)
(8,8,2)
(9,4,3)
(10,2,1)
(11,2,1)
(12,2,3)
(13,1,1)
(14,1,2)
(15,1,3)
(16,4,5)
(17,5,0)
(18,4,2)
(19,1,1)
(20,1,1)
(21,1,1)
(22,1,1)
(23,1,1)
(24,1,1)
(25,1,1)
(26,1,1)
(27,1,1)
(28,1,1)
(29,1,1)
(30,1,0)
(30,1,0)
(30,2,0)
(31,2,0)
(32,2,0)
(33,2,0)
(34,2,0)
(35,2,0)
(36,2,0)
(37,2,0)
(38,2,0)
(39,2,0)
(40,2,0)
(41,2,0)
(42,3,0)
(43,3,0)
(44,3,0)
(45,3,0)
(46,3,0)
(47,3,0)
(48,3,0)
(49,3,0)
(50,3,0)
(51,3,0)
(52,3,0)
(53,3,0)
(54,3,0)
(55,3,0)
(56,5,0)
(57,5,0)
(58,5,0)
(59,5,0)
(60,5,0)
(61,5,0)
(62,5,0)
(63,5,0)
(64,5,0)
(65,5,0)
