( 0 ,8 )
( 1 ,8 )
( 2 ,8 )
( 3 ,8 )
( 4 ,8 )
( 5 ,8 )
( 6 ,8 )
( 7 ,8 )
( 8 ,8 )
( 9 ,8 )
( 10 ,9 )
( 11 ,9 )
( 12 ,9 )
( 13 ,9 )
( 14 ,9 )
( 15 ,9 )
( 16 ,9 )
( 17 ,9 )
( 18 ,9 )
( 19 ,9 )
( 20 ,9 )
( 21 ,9 )
( 22 , 10 )
( 23 , 10 )
( 24 , 10 )
( 25 , 10 )
( 26 , 10 )
( 27 , 10 )
( 28 , 10 )
( 29 , 10 )
( 30 , 10 )
( 31 , 10 )
( 32 , 10 )
( 33 ,3 )
( 34 ,3 )
( 35 ,3 )
( 36 ,3 )
( 37 ,3 )
( 38 ,3 )
( 39 ,3 )
( 40 ,3 )
( 41 ,3 )
( 42 ,3 )
( 43 , 2 )
( 44 , 2 )
( 45 , 2 )
( 46 , 2 )
( 47 , 2 )
( 48 , 2 )
( 49 , 1 )
( 50 , 1 )
( 51 , 1 )
( 52 , 1 )
( 53 , 1 )
( 54 , 1 )
( 55 , 1 )
( 56 , 1 )
( 57 , 1 )
( 58 , 1 )
( 59 , 6 )
( 60 , 6 )
( 61 , 6 )
( 62 , 6 )
( 63 , 6 )
( 64 , 6 )
( 65 , 6 )
