(0,1,0)
(1,1,0)
(2,1,0)
(3,1,0)
(4,1,0)
(5,2,0)
(6,2,0)
(7,2,0)
(8,2,0)
(9,2,0)
(10,1,0)
(11,1,0)
(12,1,0)
(13,1,0)
(14,8,0)
(15,8,0)
(16,8,1)
(17,8,1)
(18,8,1)
(19,8,1)
(20,8,0)
(21,8,0)
(22,1,0)
(23,1,0)
(24,1,0)
(25,1,0)
(26,1,0)
(27,1,0)
(28,1,0)
(29,1,0)
(30,1,0)
(31,1,0)
(32,6,0)
(33,6,0)
(34,6,3)
(35,6,3)
(36,6,3)
(37,6,3)
(38,6,3)
(39,6,0)
(40,6,0)
(41,1,0)
(42,1,0)
(43,1,0)
(44,1,0)
(45,1,0)
(46,1,4)
(47,1,4)
(48,1,4)
(49,1,4)
(50,1,4)
(51,1,4)
(52,1,4)
(53,1,0)
(54,3,0)
(55,3,0)
(56,3,0)
(57,3,3)
(58,3,3)
(59,3,3)
(60,3,3)
(61,3,3)
(62,3,0)
(63,3,0)
(64,1,0)
(65,1,0)
